Net Status Report
Filename     : C:\Users\HamidNE\Desktop\New folder\Micro.PcbDoc
Date         : 10/04/2018
Time         : 08:50:44 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetA_1, Signal Layers Only, 0mm
    NetA_2, Signal Layers Only, 0mm
    NetB_1, Signal Layers Only, 0mm
    NetB_2, Signal Layers Only, 0mm
    NetC1_1, Signal Layers Only, 6.858mm
    NetC1_2, Signal Layers Only, 0mm
    NetC2_1, Signal Layers Only, 0mm
    NetC3_1, Signal Layers Only, 9.2065mm
    NetC4_1, Signal Layers Only, 0mm
    NetC_1, Signal Layers Only, 0mm
    NetC_2, Signal Layers Only, 0mm
    NetDS1_1, Signal Layers Only, 0mm
    NetDS1_10, Signal Layers Only, 0mm
    NetDS1_12, Signal Layers Only, 0mm
    NetDS1_3, Signal Layers Only, 0mm
    NetDS1_5, Signal Layers Only, 0mm
    NetDS1_6, Signal Layers Only, 0mm
    NetDS1_8, Signal Layers Only, 0mm
    NetDS1_9, Signal Layers Only, 0mm
    NetD_1, Signal Layers Only, 0mm
    NetD_2, Signal Layers Only, 0mm
    NetE_1, Signal Layers Only, 0mm
    NetF_1, Signal Layers Only, 0mm
    NetG_1, Signal Layers Only, 0mm
    NetH_1, Signal Layers Only, 0mm
    NetKeyboard_1, Signal Layers Only, 0mm
    NetKeyboard_2, Signal Layers Only, 0mm
    NetKeyboard_3, Signal Layers Only, 0mm
    NetKeyboard_4, Signal Layers Only, 0mm
    NetKeyboard_5, Signal Layers Only, 0mm
    NetKeyboard_6, Signal Layers Only, 0mm
    NetKeyboard_7, Signal Layers Only, 0mm
    NetKeyboard_8, Signal Layers Only, 0mm
    NetLCD_1, Signal Layers Only, 0mm
    NetLCD_11, Signal Layers Only, 0mm
    NetLCD_12, Signal Layers Only, 0mm
    NetLCD_13, Signal Layers Only, 0mm
    NetLCD_14, Signal Layers Only, 0mm
    NetLCD_15, Signal Layers Only, 0mm
    NetLCD_2, Signal Layers Only, 0mm
    NetLCD_3, Signal Layers Only, 0mm
    NetLCD_4, Signal Layers Only, 0mm
    NetLCD_5, Signal Layers Only, 0mm
    NetLCD_6, Signal Layers Only, 0mm
    NetLED Test1_1, Signal Layers Only, 0mm
    NetLED Test2-1_1, Signal Layers Only, 0mm
    NetLED Test2-1_2, Signal Layers Only, 0mm
    NetLED Test2-2_1, Signal Layers Only, 0mm
    NetP1_1, Signal Layers Only, 0mm
    NetP1_2, Signal Layers Only, 0mm
    NetP1_3, Signal Layers Only, 0mm
    NetP1_4, Signal Layers Only, 0mm
    NetP2_1, Signal Layers Only, 0mm
    NetP2_2, Signal Layers Only, 0mm
    NetP2_3, Signal Layers Only, 0mm
    NetP2_4, Signal Layers Only, 0mm
    NetP2_5, Signal Layers Only, 0mm
    NetP2_6, Signal Layers Only, 0mm
    NetP2_7, Signal Layers Only, 0mm
    NetP2_8, Signal Layers Only, 0mm
    NetR1_2, Signal Layers Only, 0mm
count : 61
